@id,@lat,@lon,highway,crossing,traffic_calming
6204119841,19.1797239,72.8364798,traffic_signals,,
6204119843,19.1815916,72.8359121,traffic_signals,,
6204119850,19.2031882,72.8340222,traffic_signals,,
6204119853,19.2071879,72.8347734,traffic_signals,,
6204119861,19.2146649,72.8377622,traffic_signals,,
6204119862,19.2150331,72.8381272,traffic_signals,,
6204119875,19.2195100,72.8406345,traffic_signals,,
6204119877,19.2201620,72.8478139,traffic_signals,,
6243685417,19.0610480,72.8467367,traffic_signals,,
6262416573,19.0195345,72.8562747,traffic_signals,,
6262416578,19.0187592,72.8557738,traffic_signals,,
6262416885,19.0189010,72.8557983,traffic_signals,,
6262416889,19.0188703,72.8559049,traffic_signals,,
6262416893,19.0187604,72.8558944,traffic_signals,,
6274819761,19.1682550,72.9609744,traffic_signals,,
6280378090,19.0594629,72.8370779,traffic_signals,,
6428843059,19.1024558,72.8627913,traffic_signals,,
6428962829,19.1421356,72.8549128,traffic_signals,,
6428972905,19.1409843,72.8569950,traffic_signals,,
6429408888,19.1449063,72.8561376,traffic_signals,,
6430340549,19.1389709,72.8632304,traffic_signals,,
6430408536,19.1179678,72.8675401,traffic_signals,,
6430408538,19.1178459,72.8675294,traffic_signals,,
6430474708,19.1449438,72.8557482,traffic_signals,,
6430497206,19.0476102,72.8607186,traffic_signals,,
6430906958,19.1726860,72.8540674,traffic_signals,,
6430937037,19.1518652,72.8444430,traffic_signals,,
6431009346,19.0189834,72.8603571,traffic_signals,,
6431266164,19.0048292,72.8540217,traffic_signals,,
6431289415,19.0848698,72.8321450,traffic_signals,,
6435423923,19.0798537,72.8804755,traffic_signals,,
6491605232,19.0138872,72.8339854,traffic_signals,,
6495850264,19.1195537,72.8904400,traffic_signals,,
6497342997,19.0005129,72.8538501,traffic_signals,,
6547595032,18.9417833,72.8296748,traffic_signals,,
6552168526,19.0010798,72.8381330,traffic_signals,,
6552261009,19.1031997,72.8742335,traffic_signals,,
6552380192,19.1026384,72.8626949,traffic_signals,,
6552594957,19.0651609,72.8618647,traffic_signals,,
6553104160,18.9506927,72.8204484,traffic_signals,,
6554614255,18.9567903,72.8157139,traffic_signals,,
6554614261,18.9558438,72.8160818,traffic_signals,,
6554898021,19.0870186,72.9005635,traffic_signals,,
6569087156,19.0705353,72.9073197,traffic_signals,,
6569087157,19.0706516,72.9074797,traffic_signals,,
6569232264,19.1286672,72.9253821,traffic_signals,,
6571743942,19.0168118,72.8587135,traffic_signals,,
6571910349,19.0565528,72.8875106,traffic_signals,,
6572184724,19.1422474,72.9327694,traffic_signals,,
6572282657,19.0540160,72.8935823,traffic_signals,,
6572282658,19.0542002,72.8935828,traffic_signals,,
6572386235,19.0190711,72.8602277,traffic_signals,,
6572386240,19.0189440,72.8604671,traffic_signals,,
6573759450,19.0523130,72.9004649,traffic_signals,,
6573759451,19.0521395,72.9004184,traffic_signals,,
6574282572,18.9711499,72.8321263,traffic_signals,,
6574282580,18.9714927,72.8318922,traffic_signals,,
6575881955,19.1323855,72.8316485,traffic_signals,,
6583128782,19.0891191,72.9171683,traffic_signals,,
6583578109,19.0631032,72.9144439,traffic_signals,,
6591714705,19.0540252,72.8867853,traffic_signals,,
6601941185,18.9329319,72.8312000,traffic_signals,,
6604321014,19.0303667,72.8472518,traffic_signals,,
6604321015,19.0303876,72.8471527,traffic_signals,,
6604559419,19.2182803,72.9782479,traffic_signals,,
6604559421,19.2182597,72.9780085,traffic_signals,,
6606882583,19.0278205,72.8463995,traffic_signals,,
6608759215,18.9326024,72.8277899,traffic_signals,,
6616390633,19.1465023,72.8563098,traffic_signals,,
6618201525,19.2413820,72.8445085,traffic_signals,,
6618295251,19.2505303,72.8459269,traffic_signals,,
6618301525,18.9632845,72.8077347,traffic_signals,,
6638816988,19.0928239,72.8493415,traffic_signals,,
6786447367,19.1833941,72.9490607,traffic_signals,,
6925978242,18.9688409,72.8208471,traffic_signals,,
6925978243,18.9688466,72.8207536,traffic_signals,,
7157873781,19.1281470,72.8310290,traffic_signals,,
7157873782,19.1280128,72.8311117,traffic_signals,,
7157873783,19.1280350,72.8310144,traffic_signals,,
7157873784,19.1281251,72.8311333,traffic_signals,,
7158568633,19.1056961,72.8264866,crossing,uncontrolled,bump
7158578183,19.1065322,72.8269901,,,bump
7158617885,19.1047610,72.8270912,traffic_signals,,
7158617888,19.1049052,72.8265909,traffic_signals,,
7158617889,19.1048503,72.8267135,traffic_signals,,
7159714370,19.1327565,72.8256441,traffic_signals,,
7159760403,19.1331555,72.8235245,,,bump
7160273648,19.1322361,72.8134820,,,bump
7160273654,19.1319607,72.8130729,,,bump
7161496658,19.1360490,72.8205971,,,bump
7161496673,19.1363291,72.8199718,,,bump
7161496683,19.1363610,72.8200017,,,bump
7161503128,19.1356837,72.8204292,,,bump
7161537432,19.1345653,72.8217867,,,bump
7161550304,19.1344045,72.8204076,,,bump
7161550307,19.1344850,72.8202901,,,bump
7161557184,19.1346599,72.8223418,,,bump
7161578222,19.1336064,72.8248038,,,bump
7161598966,19.1338755,72.8230275,,,bump
7206407288,19.0507512,72.8298430,traffic_signals,,
7241667064,19.1706451,72.8354074,traffic_signals,,
7241667066,19.1706302,72.8355692,traffic_signals,,
7257736713,19.0572416,72.9534341,traffic_signals,,
7280044352,19.1562575,72.9499107,traffic_signals,,
7280044353,19.1563620,72.9499336,traffic_signals,,
7280128664,19.2281461,72.9696402,traffic_signals,,
7280128666,19.2281727,72.9697915,traffic_signals,,
7285424910,19.1778853,72.9441227,traffic_signals,,
7285424940,19.1778512,72.9442646,traffic_signals,,
7298860363,19.0559337,72.9218743,traffic_signals,,
7298860365,19.0558624,72.9218263,traffic_signals,,
7305880350,19.2870614,72.8672016,traffic_signals,,
7305880352,19.2872100,72.8673159,traffic_signals,,
7325017704,19.2301986,72.8409235,traffic_signals,,
7331358909,19.2300309,72.8409240,traffic_signals,,
7331358915,19.2301574,72.8410553,traffic_signals,,
7331358917,19.2300440,72.8409028,traffic_signals,,
7331358921,19.2301807,72.8410374,traffic_signals,,
7331358923,19.2301512,72.8408762,traffic_signals,,
7331358926,19.2301013,72.8410651,traffic_signals,,
7331439002,19.2567552,72.8509738,traffic_signals,,
7331439008,19.2414691,72.8443513,traffic_signals,,
7331439037,19.2504954,72.8460635,traffic_signals,,
7331439047,19.2451322,72.8455037,traffic_signals,,
7331439052,19.2414500,72.8445577,traffic_signals,,
7331439057,19.2395690,72.8428434,traffic_signals,,
7331456315,19.2574351,72.8651049,traffic_signals,,
7331456316,19.2575355,72.8644153,traffic_signals,,
7340067042,19.1040836,72.8299651,traffic_signals,,
7340159712,19.2156670,72.8209969,traffic_signals,,
7345105024,19.2153744,72.8285704,traffic_signals,,
7345105030,19.2153612,72.8337678,traffic_signals,,
7345211334,19.2073294,72.8347923,traffic_signals,,
7345211349,19.2088866,72.8222938,traffic_signals,,
7345211352,19.2151256,72.8382330,traffic_signals,,
7345377643,19.2152826,72.8284700,traffic_signals,,
7345377652,19.2153760,72.8284711,traffic_signals,,
7345377659,19.1995755,72.8279749,traffic_signals,,
7345377675,19.2076954,72.8292376,traffic_signals,,
7345380794,19.2037183,72.8282387,traffic_signals,,
7345380801,19.1962755,72.8275524,traffic_signals,,
7345380802,19.2075516,72.8293019,traffic_signals,,
7345415536,19.2263958,72.8280734,traffic_signals,,
7353775773,19.1342583,72.8258788,traffic_signals,,
7357622187,19.0447048,72.8933171,traffic_signals,,
7357634700,19.2783020,72.8792110,traffic_signals,,
7357634701,19.2784418,72.8793343,traffic_signals,,
7358502434,19.2304466,72.8476132,traffic_signals,,
